date,strategy_name,optimization_status,risk_aversion,expected_class,p_bearish,p_bullish,normalized_entropy,confidence_score,ordinal_variance,risk_aversion_mode,constant_lambda,asset_universe,estimated_portfolio_mu,estimated_portfolio_vol_daily,strategy_control,policy_name,analysis_group
2024-12-18,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34,optimized,34.0,2.0,0.4,0.4,1.0000000000000002,-2.220446049250313e-16,2.0,constant_lambda,34.0,"0050,006208,00692,00881",0.0003404325120739,0.0102996392628418,Exposure-matched constant-lambda no-probability AURORA,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34_0,constant_lambda_exposure_match
2024-12-18,AURORA18_DYNAMIC_ORIGINAL,optimized,33.04875596775785,2.322605715253365,0.16363147795153,0.4592037988745871,0.79104505634909,0.20895494365091,0.7825570689437011,dynamic,,"0050,006208,00692,00881",0.0003409072980507,0.0103015924032713,Original dynamic AURORA,AURORA18_DYNAMIC_ORIGINAL,constant_lambda_exposure_match
2024-12-18,AURORA18_Exposure_matched_constant_lambda_AURORA_34,optimized,34.0,2.322605715253365,0.16363147795153,0.4592037988745871,0.79104505634909,0.20895494365091,0.7825570689437011,constant_lambda,34.0,"0050,006208,00692,00881",0.0003408526266681,0.010299953419159,Exposure-matched constant-lambda AURORA,AURORA18_Exposure_matched_constant_lambda_AURORA_34_0,constant_lambda_exposure_match
2024-12-18,AURORA18_DYNAMIC_ORIGINAL,static_baseline,,2.322605715253365,0.16363147795153,0.4592037988745871,0.79104505634909,0.20895494365091,0.7825570689437011,dynamic,,"0050,006208,00692,00881",0.0003409072980507,0.0103015924032713,Static exposure-matched cash baseline,AURORA18_STATIC_EXPOSURE_MATCHED_CASH,constant_lambda_exposure_match
2024-12-18,AURORA18_REDUCED_SYNTH_TW50,optimized,33.04875596775785,2.322605715253365,0.16363147795153,0.4592037988745871,0.79104505634909,0.20895494365091,0.7825570689437011,dynamic,,"TW50_SYN,00692,00881",0.0003456531235252,0.0106118568116162,Reduced-universe: Synthetic Taiwan 50 sleeve,AURORA18_REDUCED_SYNTH_TW50,reduced_universe_sensitivity
2024-12-18,AURORA18_REDUCED_REMOVE_006208,optimized,33.04875596775785,2.322605715253365,0.16363147795153,0.4592037988745871,0.79104505634909,0.20895494365091,0.7825570689437011,dynamic,,"0050,00692,00881",0.0003425833622128,0.0106141219328417,Reduced-universe: Remove 006208,AURORA18_REDUCED_REMOVE_006208,reduced_universe_sensitivity
2024-12-18,AURORA18_REDUCED_REMOVE_0050,optimized,33.04875596775785,2.322605715253365,0.16363147795153,0.4592037988745871,0.79104505634909,0.20895494365091,0.7825570689437011,dynamic,,"006208,00692,00881",0.000348424711059,0.0105994453486805,Reduced-universe: Remove 0050,AURORA18_REDUCED_REMOVE_0050,reduced_universe_sensitivity
2024-12-18,AURORA18_REDUCED_FULL,optimized,33.04875596775785,2.322605715253365,0.16363147795153,0.4592037988745871,0.79104505634909,0.20895494365091,0.7825570689437011,dynamic,,"0050,006208,00692,00881",0.0003409072980507,0.0103015924032713,Reduced-universe: Full universe,AURORA18_REDUCED_FULL,reduced_universe_sensitivity
2024-12-19,AURORA18_REDUCED_SYNTH_TW50,optimized,32.84676023462045,2.278158911392353,0.1666923831313235,0.4643155639603732,0.780516502879759,0.2194834971202409,0.8295379128519071,dynamic,,"TW50_SYN,00692,00881",0.000295809782696,0.010331645020982,Reduced-universe: Synthetic Taiwan 50 sleeve,AURORA18_REDUCED_SYNTH_TW50,reduced_universe_sensitivity
2024-12-19,AURORA18_DYNAMIC_ORIGINAL,optimized,32.84676023462045,2.278158911392353,0.1666923831313235,0.4643155639603732,0.780516502879759,0.2194834971202409,0.8295379128519071,dynamic,,"0050,006208,00692,00881",0.0002914822781379,0.0100099842034505,Original dynamic AURORA,AURORA18_DYNAMIC_ORIGINAL,constant_lambda_exposure_match
2024-12-19,AURORA18_REDUCED_REMOVE_0050,optimized,32.84676023462045,2.278158911392353,0.1666923831313235,0.4643155639603732,0.780516502879759,0.2194834971202409,0.8295379128519071,dynamic,,"006208,00692,00881",0.0003001020949102,0.0103256933620709,Reduced-universe: Remove 0050,AURORA18_REDUCED_REMOVE_0050,reduced_universe_sensitivity
2024-12-19,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34,optimized,34.0,2.0,0.4,0.4,1.0000000000000002,-2.220446049250313e-16,2.0,constant_lambda,34.0,"0050,006208,00692,00881",0.0002907589177992,0.009997695347968,Exposure-matched constant-lambda no-probability AURORA,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34_0,constant_lambda_exposure_match
2024-12-19,AURORA18_REDUCED_FULL,optimized,32.84676023462045,2.278158911392353,0.1666923831313235,0.4643155639603732,0.780516502879759,0.2194834971202409,0.8295379128519071,dynamic,,"0050,006208,00692,00881",0.0002914822781379,0.0100099842034505,Reduced-universe: Full universe,AURORA18_REDUCED_FULL,reduced_universe_sensitivity
2024-12-19,AURORA18_REDUCED_REMOVE_006208,optimized,32.84676023462045,2.278158911392353,0.1666923831313235,0.4643155639603732,0.780516502879759,0.2194834971202409,0.8295379128519071,dynamic,,"0050,00692,00881",0.0002914633909255,0.0103269612179242,Reduced-universe: Remove 006208,AURORA18_REDUCED_REMOVE_006208,reduced_universe_sensitivity
2024-12-19,AURORA18_DYNAMIC_ORIGINAL,static_baseline,,2.278158911392353,0.1666923831313235,0.4643155639603732,0.780516502879759,0.2194834971202409,0.8295379128519071,dynamic,,"0050,006208,00692,00881",0.0002914822781379,0.0100099842034505,Static exposure-matched cash baseline,AURORA18_STATIC_EXPOSURE_MATCHED_CASH,constant_lambda_exposure_match
2024-12-19,AURORA18_Exposure_matched_constant_lambda_AURORA_34,optimized,34.0,2.278158911392353,0.1666923831313235,0.4643155639603732,0.780516502879759,0.2194834971202409,0.8295379128519071,constant_lambda,34.0,"0050,006208,00692,00881",0.0002911309382603,0.0099980167845488,Exposure-matched constant-lambda AURORA,AURORA18_Exposure_matched_constant_lambda_AURORA_34_0,constant_lambda_exposure_match
2024-12-20,AURORA18_REDUCED_REMOVE_0050,optimized,34.296309307093644,2.314768252201448,0.182319296369524,0.48430211060033,0.8259969351881264,0.1740030648118735,0.9226057114743788,dynamic,,"006208,00692,00881",0.0002362344084529,0.0100521920078494,Reduced-universe: Remove 0050,AURORA18_REDUCED_REMOVE_0050,reduced_universe_sensitivity
2024-12-20,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34,optimized,34.0,2.0,0.4,0.4,1.0000000000000002,-2.220446049250313e-16,2.0,constant_lambda,34.0,"0050,006208,00692,00881",0.0002262131678482,0.0097111606870766,Exposure-matched constant-lambda no-probability AURORA,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34_0,constant_lambda_exposure_match
2024-12-20,AURORA18_DYNAMIC_ORIGINAL,static_baseline,,2.314768252201448,0.182319296369524,0.48430211060033,0.8259969351881264,0.1740030648118735,0.9226057114743788,dynamic,,"0050,006208,00692,00881",0.0002268188078254,0.0097205068869015,Static exposure-matched cash baseline,AURORA18_STATIC_EXPOSURE_MATCHED_CASH,constant_lambda_exposure_match
2024-12-20,AURORA18_REDUCED_REMOVE_006208,optimized,34.296309307093644,2.314768252201448,0.182319296369524,0.48430211060033,0.8259969351881264,0.1740030648118735,0.9226057114743788,dynamic,,"0050,00692,00881",0.0002252050922494,0.0100424292681673,Reduced-universe: Remove 006208,AURORA18_REDUCED_REMOVE_006208,reduced_universe_sensitivity
2024-12-20,AURORA18_REDUCED_FULL,optimized,34.296309307093644,2.314768252201448,0.182319296369524,0.48430211060033,0.8259969351881264,0.1740030648118735,0.9226057114743788,dynamic,,"0050,006208,00692,00881",0.0002268188078254,0.0097205068869015,Reduced-universe: Full universe,AURORA18_REDUCED_FULL,reduced_universe_sensitivity
