n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_return,daily_volatility,hit_rate,final_equity,policy_name,control_type,kappa,shuffle_id,probability_order,weighted_brier,avg_entropy,avg_bearish_probability,avg_dynamic_lambda,avg_cash,cash_cap_binding_frequency,avg_equity_exposure,total_turnover,rebalance_count,brier_20d,brier_60d,hard_accuracy_20d,hard_accuracy_60d,median_dynamic_lambda
319,2024-11-27,2026-03-25,0.24080017435264467,0.1858275087046628,0.10083462265142092,1.7412191304485611,2.2404056729178334,-0.11691198264318681,1.5894650360331746,0.0006967268808421266,0.006351984168588099,0.5642633228840125,1.2408001743526447,oracle_shuffled_kappa_0_1_seed_2,shuffled_oracle_probability,0.1,2.0,shuffled,0.7796346960956251,0.9208213217945359,0.22084782442481637,37.43748953335973,0.5866217768110806,0.2507836990595611,0.4133782231889193,0.3259465576790659,17,0.7474811824853187,0.793414773357185,0.2852664576802508,0.06269592476489028,37.09342157380796
319,2024-11-27,2026-03-25,0.24084882042475564,0.18586423486483405,0.10082627218943457,1.7416623453868252,2.241260577205585,-0.11691063482862485,1.5897974990665806,0.0006968465146748454,0.006351458138927423,0.5642633228840125,1.2408488204247556,oracle_shuffled_kappa_0_1_seed_3,shuffled_oracle_probability,0.1,3.0,shuffled,0.7791958246222707,0.9207672406737697,0.2208478244248164,37.436137505340575,0.5865706895121237,0.2507836990595611,0.41342931048787634,0.3264699624569083,17,0.751869897218861,0.7909069363665893,0.2852664576802508,0.07523510971786834,37.09342157380796
319,2024-11-27,2026-03-25,0.24101453490255742,0.18598934149283175,0.10085096156913066,1.7423072796938412,2.2423216174702416,-0.11690872296498256,1.5908936200469899,0.0006972752559762705,0.006353013423658383,0.5642633228840125,1.2410145349025574,oracle_shuffled_kappa_0_1_seed_4,shuffled_oracle_probability,0.1,4.0,shuffled,0.7768760754059698,0.9208003633954819,0.2208478244248164,37.43696557338338,0.5864474757150471,0.2507836990595611,0.41355252428495287,0.32632833650914983,17,0.7499890194759142,0.7883990993759938,0.2852664576802508,0.06896551724137931,37.09342157380796
319,2024-11-27,2026-03-25,0.24145704183279593,0.18632339619722837,0.1009608613179257,1.743311622072284,2.244027813496217,-0.11690797694945287,1.5937611877227884,0.0006984374718649522,0.00635993645709791,0.5642633228840125,1.241457041832796,oracle_ordered_kappa_0_25,ordered_oracle_probability,0.25,,ordered,0.4642186260329685,0.9026208454653651,0.21267099266331357,36.818940989900405,0.5860401823197153,0.2507836990595611,0.41395981768028456,0.3229894751886048,17,0.4263464324556266,0.48044956613754364,0.8463949843260188,1.0,36.09205690761723
319,2024-11-27,2026-03-25,0.241393771738051,0.18627563424541105,0.10095737797106774,1.74296928491476,2.243474931629419,-0.11691602298115022,1.5932429918133917,0.0006982762257504011,0.006359717026871331,0.5642633228840125,1.241393771738051,oracle_shuffled_kappa_0_25_seed_0,shuffled_oracle_probability,0.25,0.0,shuffled,0.7483879050298338,0.9048613404821708,0.21267099266331363,36.87495336532055,0.5860645544669242,0.2476489028213166,0.4139354455330758,0.32282260180392164,17,0.7664718243051564,0.7406376539118383,0.335423197492163,0.47962382445141066,36.09205690761723
319,2024-11-27,2026-03-25,0.24037754154576607,0.1855084223185488,0.10073062016533467,1.7402397378624415,2.2386338183764942,-0.1169159520661267,1.5866818773679983,0.0006956167779017586,0.006345432627780559,0.5642633228840125,1.240377541545766,oracle_shuffled_kappa_0_25_seed_1,shuffled_oracle_probability,0.25,1.0,shuffled,0.7372593783840656,0.9052396886393621,0.21267099266331363,36.88441206925033,0.5869925900223221,0.2476489028213166,0.4130074099776779,0.3258764937079067,17,0.7805784073772567,0.7186940802441267,0.31974921630094044,0.5235109717868338,36.09205690761723
319,2024-11-27,2026-03-25,0.24083169885320155,0.1858513086844804,0.10080983004885186,1.7418218127944185,2.2412662907520726,-0.11690866914594855,1.58971366317124,0.0006967966703301126,0.006350422381427342,0.5642633228840125,1.2408316988532015,oracle_shuffled_kappa_0_25_seed_2,shuffled_oracle_probability,0.25,2.0,shuffled,0.743058751424818,0.9050818704784889,0.21267099266331363,36.88046661522849,0.5866428343646453,0.2507836990595611,0.41335716563535474,0.32544942119583375,17,0.7852806017346234,0.7249636727206158,0.32601880877742945,0.5109717868338558,36.09205690761723
319,2024-11-27,2026-03-25,0.24058987811885357,0.18566873859017763,0.10081629095050255,1.7401884994932733,2.238606540538097,-0.11691322760844736,1.5880900937231714,0.0006961878971175884,0.00635082937997527,0.5642633228840125,1.2405898781188536,oracle_shuffled_kappa_0_25_seed_3,shuffled_oracle_probability,0.25,3.0,shuffled,0.7461935476630626,0.9053561428186422,0.21267099266331363,36.88732342373233,0.5867708490019184,0.25705329153605017,0.4132291509980816,0.3256757320753623,17,0.788415397972868,0.7280984689588603,0.3072100313479624,0.5047021943573667,36.09205690761723
319,2024-11-27,2026-03-25,0.24148012622881132,0.1863408222459908,0.10100746573413796,1.7426993597142681,2.2430231325455,-0.11691344700172823,1.5938356709578179,0.0006985144677033456,0.006362872259366838,0.5642633228840125,1.2414801262288113,oracle_shuffled_kappa_0_25_seed_4,shuffled_oracle_probability,0.25,4.0,shuffled,0.7518361808919027,0.9046173093146223,0.21267099266331363,36.86885258613183,0.5859158383420204,0.2476489028213166,0.41408416165797957,0.3201105102733932,17,0.7852806017346236,0.7375028576735938,0.30407523510971785,0.48589341692789967,36.09205690761723
319,2024-11-27,2026-03-25,0.24416638895070109,0.18836817553920726,0.10155171072682231,1.7507258716061629,2.2566077098162705,-0.11690896672540929,1.6112380497009973,0.0007055127272829877,0.00639715647134148,0.5642633228840125,1.244166388950701,oracle_ordered_kappa_0_5,ordered_oracle_probability,0.5,,ordered,0.206319389347986,0.8081618752005303,0.1990429397274755,34.18490567456278,0.5836332171361096,0.2413793103448276,0.41636678286389034,0.30787918705420486,17,0.18948730331361183,0.21353314050557498,1.0,1.0,32.97529768552339
