date,horizon,fold_id,fold_number,split,split_priority,number_of_eligible_predictions,has_multiple_eligible_predictions,deduplication_rule,model_name,model_family,target_col,run_id,proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4,in_aligned_evaluation_window,source_probability_file,target_col_from_input_index
2024-01-26,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.03568654687647784,0.24323380867699243,0.47968692842562805,0.22952811819873972,0.011864597822162051,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-29,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.028319746416720963,0.2553425830765982,0.4801970153105323,0.2290255807155705,0.00711507448057804,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-30,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.040661246832827666,0.24980496497600113,0.473896894814292,0.22392853353536368,0.011708359841515567,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-01-31,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.021536250768887863,0.2734457150663305,0.4707368691990298,0.226395152832864,0.007886012132887877,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-01,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.028733946904960308,0.2376978612988839,0.46019109227423766,0.2672900329086242,0.006087066613293968,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-02,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.03191763247460565,0.22827232988250365,0.47053031067693435,0.2576402169873676,0.01163950997858884,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-05,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.025398259778463887,0.24231641003469048,0.48099108228353116,0.24320243874392197,0.008091809159392439,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-15,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.03160300648674302,0.2276309095998029,0.5072883337988461,0.22842486031804166,0.005052889796566352,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-16,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.06059319662213594,0.1822998603336459,0.5349265163338541,0.20984850049570827,0.012331926214655781,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-19,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.043515951787550695,0.20550691785751307,0.5362192085659332,0.20340920574133753,0.011348716047665526,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-20,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.05366417800094895,0.20026735385765376,0.5313750154745993,0.20680830353877677,0.007885149128021286,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-21,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.04766344538940881,0.196378540758698,0.5260692546278609,0.22114241322072611,0.008746346003306257,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-22,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.04453135102731136,0.20111034379858622,0.5229863731587818,0.21961117101695438,0.011760760998366317,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-23,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.06631979882080434,0.25029610077320197,0.4733023704796883,0.19628087122348795,0.013800858702817468,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-26,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.04074851514049418,0.31277661043888166,0.44477576688275433,0.19483516235561255,0.00686394518225732,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-27,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.045262493009601605,0.3095523998598505,0.44389993700261443,0.19328792733762945,0.007997242790304074,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-02-29,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.0415027638720112,0.3004014174027292,0.4545335073901588,0.1990813762925674,0.004480935042533521,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-03-01,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.0423554099764713,0.3004076707845432,0.4443640729533446,0.2068839709055711,0.005988875380069753,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
2024-03-04,20-day,WF1,1,validation,1,1,False,"latest eligible fold after sorting by date, split priority, and fold number",E1_validation_weighted_probability_ensemble,probability_ensemble,TAIEX_regime_fixed_20d,20260624_031817,0.03845678181308234,0.27311469436968605,0.48695103197388917,0.19317003282655143,0.008307459016790914,False,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/purged_walk_forward_models/run_20260624_031817/probabilities/selected_probabilities_TAIEX_regime_fixed_20d_E1_validation_weighted_probability_ensemble.parquet,TAIEX_regime_fixed_20d
