Date,0050,006208,00692,00881,TAIEX,SP500,NASDAQ,SOXX,USD_TWD,VIX,NIKKEI225,HANGSENG,KOSPI,US10Y
2022-03-23,30.702613830566406,71.1622085571289,29.195865631103516,12.783756256103516,17731.369140625,4456.240234375,13922.599609375,149.25869750976562,28.46739959716797,23.56999969482422,28040.16015625,22154.080078125,2735.050048828125,2.321000099182129
2022-03-24,30.68037986755371,71.07274627685547,29.187557220458984,12.783756256103516,17699.060546875,4520.16015625,14191.83984375,156.79347229003906,28.55970001220703,21.670000076293945,28110.390625,21945.94921875,2729.659912109375,2.3410000801086426
2022-03-25,30.72484588623047,71.25166320800781,29.187557220458984,12.806381225585938,17676.94921875,4543.06005859375,14169.2998046875,156.4388885498047,28.651500701904297,20.809999465942383,28149.83984375,21404.880859375,2729.97998046875,2.492000102996826
2022-03-28,30.39136505126953,70.44656372070312,28.938228607177734,12.655542373657227,17520.009765625,4575.52001953125,14354.900390625,157.65411376953125,28.66900062561035,19.6299991607666,27943.890625,21684.970703125,2729.56005859375,2.4769999980926514
2022-03-29,30.424713134765625,70.53602600097656,28.963157653808594,12.617831230163574,17548.66015625,4631.60009765625,14619.6396484375,161.26754760742188,28.783700942993164,18.899999618530273,28252.419921875,21927.630859375,2741.070068359375,2.4000000953674316
2022-03-30,30.80265998840332,71.34111785888672,29.270660400390625,12.73095989227295,17740.560546875,4602.4501953125,14442.26953125,156.11007690429688,28.628299713134766,19.329999923706055,28027.25,22232.029296875,2746.739990234375,2.3580000400543213
2022-03-31,30.702613830566406,71.20694732666016,29.195865631103516,12.678166389465332,17693.470703125,4530.41015625,14220.51953125,152.55783081054688,28.52560043334961,20.559999465942383,27821.4296875,21996.849609375,2757.64990234375,2.3269999027252197
2022-04-01,30.44694709777832,70.62547302246094,29.02964973449707,12.549952507019043,17625.58984375,4545.85986328125,14261.5,149.60202026367188,28.615699768066406,19.6299991607666,27665.98046875,22039.55078125,2739.85009765625,2.377000093460083
2022-04-04,,,,,,4582.64013671875,14532.5498046875,152.03244018554688,28.667999267578125,18.56999969482422,27736.470703125,22502.310546875,2757.89990234375,2.4119999408721924
2022-04-05,,,,,,4525.1201171875,14204.169921875,145.03440856933594,28.588499069213867,21.030000686645508,27787.98046875,,2759.199951171875,2.555999994277954
2022-04-06,30.291316986083984,70.26765441894531,28.88005256652832,12.376485824584961,17522.5,4481.14990234375,13888.8203125,141.42739868164062,28.653200149536133,22.100000381469727,27350.30078125,22080.51953125,2735.030029296875,2.6089999675750732
2022-04-07,29.746633529663086,69.14945220947266,28.41464614868164,12.150225639343262,17178.630859375,4500.2099609375,13897.2998046875,141.7368621826172,28.725400924682617,21.549999237060547,26888.5703125,21808.98046875,2695.860107421875,2.6519999504089355
2022-04-08,29.91337013244629,69.19417572021484,28.555931091308594,12.097431182861328,17284.5390625,4488.27978515625,13711.0,138.22012329101562,28.7987003326416,21.15999984741211,26985.80078125,21872.009765625,2700.389892578125,2.7130000591278076
2022-04-11,29.44649314880371,68.29962921142578,28.148700714111328,11.833457946777344,17048.369140625,4412.52978515625,13411.9599609375,135.3803253173828,28.891000747680664,24.3700008392334,26821.51953125,21208.30078125,2693.10009765625,2.7799999713897705
2022-04-12,29.46872901916504,68.2549057006836,28.148700714111328,11.8410005569458,16990.91015625,4397.4501953125,13371.5703125,134.96768188476562,29.0310001373291,24.260000228881836,26334.98046875,21319.130859375,2666.760009765625,2.7249999046325684
2022-04-13,30.0245361328125,69.50727081298828,28.60580062866211,12.097431182861328,17301.650390625,4446.58984375,13643.58984375,137.87197875976562,29.038000106811523,21.81999969482422,26843.490234375,21374.369140625,2716.489990234375,2.687000036239624
2022-04-14,29.91337013244629,69.32836151123047,28.530996322631836,12.089888572692871,17245.650390625,4392.58984375,13351.080078125,134.0586700439453,28.86669921875,22.700000762939453,27172.0,21518.080078125,2716.7099609375,2.828000068664551
2022-04-15,29.40203285217285,68.12071990966797,28.09052848815918,11.825916290283203,17004.1796875,,,,28.96619987487793,,27093.189453125,,2696.06005859375,
2022-04-18,29.24640655517578,67.6734390258789,27.96586799621582,11.803289413452148,16898.869140625,4391.68994140625,13332.3603515625,136.37954711914062,29.111000061035156,22.170000076293945,26799.7109375,,2693.2099609375,2.861999988555908
2022-04-19,29.34644889831543,67.98652648925781,28.065593719482422,11.8410005569458,16993.400390625,4462.2099609375,13619.66015625,139.36770629882812,29.214000701904297,21.3700008392334,26985.08984375,21027.759765625,2718.889892578125,2.9130001068115234
